Brief,Beleg,VK,Briefschreiber
"Jacob Grimm an Wilhelm Grimm. Kassel, 2. Januar 1838.",was vielleicht gedruckt werden könnte,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 11. Januar 1838.",Wenn Reisende hierher belastet werden können,321,Jacob
"Jacob Grimm an Dorothea und Wilhelm Grimm. Kassel, 30. März [1838].",wo der Carl ostern confirmiert werden soll,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, [24. April 1838].",wo mittag gegessen werden sollte,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Jena, 25. Juli 1838.","dass die arbeit vorbereitet und begonnen, die bedingungen erst
10 später festgesetzt werden sollen",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 24. August [1838].",ob dem publicum ein ordentlicher plan vorgelegt werden soll,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 10. Oktober 1838.","die nun in Leipzig
förmlich entworfen werden soll.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 1. Juni [1839].","ob in Rudolstadt etwa durch Göttling nicht etwas gewirkt
werden könne",321,Jacob
"Jacob Grimm an Dorothea Grimm. Berlin,
6. und 7. [September 1841].",Marie hätte von Cassel nach Fulda ver10 schrieben werden können,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Venedig, 29. September 1843.","die allmälich weiter
nach Mailand erstreckt werden soll.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M.,
[14. Juni 1848].","dass die ver5 wendung der gelder bloss von der executivgewalt der nationalvers. verfügt
werden solle",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M.,
2. August [1848].","das von Preussen aus nicht allein gemacht
5 werden kann",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M.,
2. August [1848].",wenn ihnen ein garnisonsregiment entzogen werden soll,321,Jacob
"Jacob Grimm an Dorothea Grimm. Frankfurt a. M.,
8. August [1848].","so dass ein angestelltes waldfest (ich war
30 aber nicht dabei) fröhlich gehalten werden konnte",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M.,
19. September [1848].","aus dieser Paulskirche, die gestern gestürmt werden sollte",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Berlin,
[16. oder 23. August 1849 ?].","damit sie
sogleich noch auf den bahnhof getragen werden können",321,Jacob
"Testament Jacob Grimms. Göttingen, 7. Februar 1837.","was von kundigen händen vielleicht gebraucht
werden kann.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 2. April [1805].",Dies mögte ihm wohl sehr versalzen worden sein,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 17. bis 19. Mai 1805.","ein Mensch soll dabei erdrükt worden
sein",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel,
16. [und 17.] Juni [1809].",so daß also keine nöthige Vorsicht versäumt werden wird.,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel,
24. bis 29. September [1809].","welcher vermuthlich im
10 Königreich angestellt werden wird.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Karlsruhe,
8. und 9. Januar 1814.",daß hier mehr geleistet werden wird,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 22. Mai 1814.","weil durch die frühere Erscheinung der kopenhag. Ausg. unserer Arbeit in den Augen der Leute und
zum Schaden des Verlegers ihr Verdienst geschmälert werden würde",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 7. Juni [1814].","daß Paul Diaconus und Procop vollständig excerpirt und
ihre nomina propria registrirt werden müßen",321,Jacob
" Jacob Grimm an Wilhelm Grimm. Paris, 7. Juni [1814].","was aber schwerlich
erkannt werden wird",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 2. und 3. Oktober [1814].","daß sie ohne den Hagen zu nennen, dennoch auf
170 ihn bezogen werden wird",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 23. November 1814.",wodurch sie in ihrem Wesen und Vertrauen in uns gestört werden würde,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 14. Februar [1838].",dass sein erster Aufsatz bekannt gemacht werden muss,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Neapel, 19. August [1843].",wo längerer aufenthalt gemacht werden muss,321,Jacob
"Jacob Grimm an Dorothea Grimm. Marburg, 6. Juni [1851].",für welchen bloss ein pferd angeschaft zu werden brauchte,321,Jacob
"Jacob und Wilhelm Grimm an Henriette Philippine Zimmer.
 Kassel, 8. April 1813.","Da es uns hier kümmerlich
genug geht und wieder ein gezwungenes Anleihen bezahlt werden muß",321,Jacob
"Jacob (und Lotte und Wilhelm) Grimm an
Henriette Philippine Zimmer. Kassel, 15. März 1813","auser vielen Dingen,
die mündlich verhandelt werden müßten",321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Marburg, 23. Januar 1805.",daß ich vielleicht dann ohne Examen angestellt werden kann,321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Kassel, 22. [Mai 1812]. ",das vielleicht noch dieses Jahr gedruckt werden soll,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Dijon, 5. April [1814].","daß Paris den 31 März besetzt u. Napoleon abgesetzt worden
5 ist.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 27. Januar 1815.","daß den
Hanauern keine landständ. Verfassung eingeräumt worden ist",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 25. Juni 1809.",daß nie in Deutschland einstimmiger und edler darum gebetet worden ist,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 29. Oktober 1815.",ob ein anderer an meine Stelle erwählt worden sey,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel,
16. [und 17.] Juni [1809].","so daß also keine nöthige Vorsicht versäumt werden
wird",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 28. Februar [1838].","Carl sei von einem blatterkranken angesteckt worden, ungeachtet ihm hier zweimal eingeimpft worden ist",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 23. November 1814.",wodurch sie in ihrem Wesen und Vertrauen in uns gestört werden würde.,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Vesoul, 1. März [1814].","wobei
Schwarzenb. und Witgenstein leicht verwundet worden sind",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, [24. April 1838].","dass Gervinus vermischte schriften schon vorläufig, d. h. eh sie
noch erschienen sind, bei 50 rthlr. strafe verboten worden sind",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M.,
17. September [1848].",ob zu Hannover die form gewahrt und auch an uns der rückruf nach Göttingen erlassen worden sei,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. und 6. März 1805","einem Privatmann mitgegeben, der sie wahrscheinl. verloren oder nicht bestellt hat, oder dem sie abgenommen worden sind.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M.,
16. September 1831. ","; ich denke mir dasz unterdessen Dortchen
wieder ganz hergestellt worden ist",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Basel, 20. Januar 1814.",weil sie zu verschiedenen Zeiten in der Kindheit und im Tode abgeschnitten worden waren,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Rom, 4. September 1843.","wie er von Schrecken darüber dass ihm eine vom kurfürst versprochne arbeit (auf Strieders antrieb) nicht zu theil wurde, vom schlag
gerührt worden sei ",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Göttingen, [Juni 1835]","dass irgend etwas
5 anders als wie es recht war behandelt worden sei",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Vesoul, 9. bis 11. März 1814.",daß jedermann das Creuz der Legion zugesagt worden sey,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Vesoul, 9. bis 11. März 1814.",ohne daß es uns jemals gesagt worden wäre,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 11. und 13. Mai 1815.","weil die seel. Tante nicht bei der Mutter
begraben worden ist",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel,
11. [lies 12., und 13.] November [1809].","daß die Abdrucke sämmtl. nach schlechten
Ausgaben geliefert worden sind",321,Jacob
"Jacob Grimm an Wilhelm und Dorothea Grimm. Kassel,
14. September [1838]. ","dass gestern morgen bereits die frau von Hainau
40 von einem sohn entbunden worden ist",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel,
16. und 17. August [1809]. ","Da aber nun soviel darüber geschrieben worden ist,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Brüssel, 17. September 1834.","dass alles was zu Cassel in den
30 beiden letzten generationen gebaut wurde, ohne plan und geschmack ausgeführt worden ist",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Dijon,
30. März bis 1. April 1814.","daß der Name Amelius
vermuthlich aus Omelius, homelius entstellt worden ist,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Regensburg,
22. und 23. September 1814.",auch in den brenta40 noischen Häusern zu Mittag bespeist worden ist,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 11. und 12. April 1805.","um nicht erst durch die Vorlesungen selbst zum Bearbeiten derselben
angetrieben werden zu müßen",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel,
24. bis 29. September [1809].","welcher vermuthlich im
10 Königreich angestellt werden wird",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Chaumont und Troyes,
8. bis 20. Februar 1814.","daß Troyes
gestern, hoffentlich ohne vorgängiges Bombardiren von unsern Truppen
genommen worden ist",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 21. Oktober 1815.",da sie mir im Original zurückgegeben worden ist,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. Mai 1814.",der ohne das Opfer meiner jetzigen Reise nicht er65 langt worden wäre,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 23. September 1838.",dass er abgetrennt worden sei,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 16. Dezember 1814.","wenn der König v. Sachsen vor der leipz. Schl. beigetreten und
45 ohne Zweifel bestätigt worden wäre",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M.,
2. August [1848].",die beide vom militair übertragen worden sind,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Dijon, 26. und 27. März 1814.","worauf ihm wiederum mehrere Kugeln nachgeschickt
worden waren",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 8. Oktober [1814].","der von Oestreich sogleich
verworfen worden ist,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Dijon, 26. und 27. März 1814.","weil noch nichts
publicirt worden ist",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Langres, 2. Februar 1814.",warum von der kleinen Departe30 mentshauptstadt Chaumont abhängig gemacht worden ist,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 3. Mai 1823.","da dir der Anfang durch das leidige Magenübel wieder
verdorben worden ist",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M.,
19. September [1848].","dass sie verwundet sich in ein haus geflüchtet, von den aufrührern erreicht und mit
10 kolben todt geschlagen worden seien",321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Kassel, 21. Juli [1813].",dem wiederum ein Sohn geboren worden ist,321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Kassel, 21. August 1811.",daß ihr das Geschenk von H. von Geiling richtig ausbezahlt worden ist,321,Jacob
"Jacob Grimm an Johann Hermann Zimmer.
Steinau, [Mitte bis Ende November] 1794 ",daß unser Prinz Friederich bey Mastricht gefangen und nach Paris gebracht worden wäre,321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Kassel, [nach dem 22. August 1812]",wenn der Entschluß nicht ganz schnell ge10 kommen und ausgeführt worden wäre,321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Kassel, 16. Juni 1808.",daß wir von Ihnen schon so lange unterstützt worden sind,321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Kassel, 24. März 1812.",wozu die 750 rthlr. verwendet worden sind,321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Paris, 28. April 1805.","daß mein voriger Brief den ich recht in der Eile
geschrieben hatte, dem Kurfürst vorgelegt werden würde",321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Kassel, 22. November [1809].","daß er kürzlich unter die Eleven
15 der Academie in München aufgenommen worden ist",321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Kassel, 22. [Mai 1812].",die gestern richtig abgegeben worden sind,321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Kassel, 22. November [1809].","wo ihm ein neues Kind gebo25 ren worden ist,",321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
 Kassel, 30. April 1810. ","daß der Wilhelm eben dort bei
Ihnen war und so vieles abgesprochen worden ist",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 21. April 1805.",daß man hier nicht auf noch allgemeinere Entstehungsarten der obl. gesehn wißen will.,321,Jacob
"Wilhelm Grimm an Jacob Grimm. Kassel,
3. bis 5. November 1814.","Wie er es aber zum
65 Fenster hinaus gereicht bekommen hat",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 22. Februar 1838.",sondern 10 es dem Leser überlassen bleiben muß,321,Wilhelm
"Wilhelm Grimm an Dorothea und Jacob Grimm. Göttingen, 17. März [1838].",da ich nicht stehen bleiben wollte,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 6. Oktober 1830","daß der Kurfürst, um der öffentlichen Meinung zu trotzen, mit der
ältesten Tochter der Gräfin Reichenbach in offenem Wagen, langsam
50 spatzieren gefahren war",321,Wilhelm
"Wilhelm Grimm an Haupt. Berlin, 18. Juni 1842",daß auch so hoch hinauf gestellte herrn sich durch den orden geehrt fühlen sollen,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 2. und 3. Februar 1838. ",wenn sich Lachmann auch durch deine Vorlesungen geniert fühlen sollte,321,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, [I. November 18381",weil man dem Herzoge zu verstehen gegeben habe,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 4. Mai 1815.","keinem Briefe, der verloren gehen könnte,",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Gotha, 27. Dezember 1809.","weil ietzt so manche Beziehungen
darauf verloren gehn können",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 21. Februar 1838.",daß sie hiemit den Rechten nichts vergeben haben wollten,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 2. Mai 1838.",die er öffentlich drucken lassen wollte.,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle,
28. August bis 3. September 1809.","die zwei Bilder, die ihn groß gefreut haben werden",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 21. Februar 1838.","daß sie also ihr Mandat überschritten hätten, und besser gethan haben würden",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 4. März 1838.",daß dasselbe sich morgen der Gegenwart des Herrn Commissarius zu erfreuen haben werde,321,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Kassel, 11. Mai 1812.","daß er überhaupt
55 etwas schüchtern ist und in der That geglaubt haben kann",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 4. März 1838.","daß dasselbe sich
morgen der Gegenwart des Herrn Commissarius zu erfreuen haben werde",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 5. und 6. Mai 1814.","ob du die wirkliche KriegsSecr. Stelle, die dir
zukomme, offen erhalten haben wolltest,",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle,
28. August bis 3. September 1809.","zwei Bilder, die ihn groß gefreut haben werden",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 21. Februar 1838.","daß sie also ihr Mandat überschritten hätten, und
besser gethan haben würden",321,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 16. April 1843","schlagen sich Jacob und meine frau mit 5 einer art grippe herum, die sie gar nicht wieder will zu kräften kommen laßen",321,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
 Marburg, 31. Mai 1805.","da ich diese Gelegenheit nicht
vorbeigehen lassen wollte",321,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 7. Januar 1839",Zu glauben man habe die Sieben vergessen machen wollen,321,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, [30. Mai 18401","von jemand, der un-terrichtet sein kann",321,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 24. Dezember 1840"," ich habe es von einem manne, der wol unterrichtet sein kann",321,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 7. März 1840",Ich konnte mir den grund nicht denken warum Dahlmann (ich habe seit längerer zeit keine nachricht von ihm) der Martin. geschichte wegen Jena zu verlaßen genöthigt sein sollte,321,Wilhelm
"Wilhelm Grimm an Wackernagel. Berlin, 20. März 1853","aber Sie haben gründe für Ihre ansicht angeführt, die näher erwogen sein wollen",321,Wilhelm
"Wilhelm Grimm an Reimer. Berlin, 24. Dezember 1851",demnach nicht erst 5500 expl. oder 6000 u.s.w. vollständig abgesetzt sein müssen um anspruch auf das weitere honorar zu haben,321,Wilhelm
"Wilhelm Grimm an Haupt. Kassel, [30. November 1839]","es kommen allerlei anfragen, an die man nicht denkt und die aber beantwortet sein wollen",321,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 8. November 1840",sobald eine geeignete stelle erledigt sein werde,321,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 14. Februar 1856",wiewol man darauf gefaßt sein muste,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, [24. bis 28. Mai 1809].",daß sie sehr schön ist und früher (sie ist 22 23 J. alt) 75 recht wunderbar schön gewesen seyn muß.,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 18. Juni 1811. ",da er doch gelehrt seyn soll,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 22. März 1814","hat ein Catarrhfieber gehabt, das heftig gewesen seyn muß",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 4. März 1838.","daß Petitionen, welche eben die Competenzfrage mit der mög-lichsten Gründlichkeit erörterten, von einer näheren Berücksichtigung bei der Prüfung dieses Gegenstandes ausgeschlossen seyn sollte",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 24. März 1805.",obgleich auch nun der Shakespeare zu kaufen seyn wird,321,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Marburg, 25. September 1805.","es kam mir vor als ob wir
10 lange verreist gewesen wären",321,Wilhelm
"Wilhelm Grimm an Pfeiffer. Berlin, 7. Dezember 1845","da aber der band der academischen schriften, worin er erscheint, jetzt beendigt werden muß",321,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 19. Dezember 1838"," wonach dem königl. Cabinet aufgegeben ist, binnen 4 Wochen einen Anwald zu bestellen, widrigenfalls lis negative contestata 20 aufgenommen und die Einreden ausgeschlossen werden sollen.",321,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 4. März [1840]","weil er einem ruf als präsident des oberapp.g., das in Ro- 15 stock errichtet oder vielmehr dahin verlegt werden solle, zu folgen",321,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 30. November 1840","worin Closens anwesenheit bei dem feste behauptet, selbst seine mündlichen äu- Gerungen dabei angeführt werden sollen",321,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 4. März 1841","als ihr Sarg verschloßen werden sollte, paßte der decke1 nicht,",321,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 14. und 16. November 1841",mit dem dort befindlichen rescript daß sein gehalt nicht weiter ausbezahlt werden solle,321,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 1. Februar 1859",eine stelle aus den Propyläen die eine definition davon enthält und noch aufgenommen werden muß,321,Wilhelm
"Wilhelm Grimm an Freytag. Berlin, 1. Juni 1842","und 5 die zeit, wo die eigentliche ausarbeitung beginnen kann, hat noch immer zurückgeschoben werden müßen",321,Wilhelm
"Wilhelm Grimm an Haupt. Berlin, 27. Oktober 1846","freilich ohne gleich an die rechte arbeit gehn zu können, da erst mancherlei weggeschaufelt werden muß",321,Wilhelm
"Wilhelm Grimm an Haupt. Kassel, 26. Februar 1840","man habe noch die fackeln von Blumenbachs be35 gräbnis, wo sie des sturms wegen nicht gebraucht werden konnten",321,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 18. Oktober 1839",daß man zur wi10 derlegung gezwungen worden sei,321,Wilhelm
"Wilhelm Grimm an Hugo. Kassel, 12. November 1838",bedauert daß wohlgemeinter Rath nicht angenommen worden sey,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 2. bis 13. Februar [1805]",wobei jedoch ein Stück fehlte daß nachgeschickt werden sollte,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 2. bis 13. Februar [1805]","wenn der Kalderon nicht fortgesetzt werden sollte,",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 24. März 1805.",weil Niemand dazu gezwungen werden könnte,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 28. bis 31. Mai [1805].",mit einer Schublade die verschloßen werden kann,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 28. bis 31. Mai [1805].",daß sie aus der belletrist. Kaße angeschafft werden soll,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, [14. April 1809].","daß auch so die Poesie, wie Mythologie zuletzt auf eine unmittelbare göttliche Offenbarung zurückgeführt 10 werden könne",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, [6. Juni 1809]",daß der Verschlag daher nicht umgeworfen oder verkehrt ge90 stellt werden dürfe,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Höxter, 19. August 1811.","einen Boten an seinen Schwager, der abgewartet werden sollte",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 18. und 24. Januar 1814.",daß nach dem Krieg er hier versorgt werden solle,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 3. bis 5. November 1814.",daher eine solche Art nur aufkommen d. h. absichtlich gewählt werden kann,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 20. Dezember 1814.","die Arbeiten selbst werden doch wohl von ihm geleistet werden können,",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 13. und 14. Februar [1815]. ","habe nun die Übersetzung hingeschickt, die daneben gedruckt werden soll,",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 28. Februar 1815.","den sie aus großer Trauer nicht anders, als durch Gewalt unter heftigem Leidwesen zu singen bewogen werden können",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 14. Mai [1815].",weshalb die ganze Einleitung verändert werden müßte,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 17. März 1816.",die blos an einem seiner besten Stücke recht gut widerlegt wer30 den kann,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 2. und 3. Februar 1838.",dies nicht übel genommen werden soll,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 12. Februar 1838.",Wenn der Landtag eröffnet werden soll,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 21. Februar 1838.","als jemand zur Stube hereintrat, und das Gespräch abgebrochen werden mußte",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 26. Februar 1838.",Wie nun diese Bedingungen erfüllt werden können,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 4. März 1838.",daß jegliche Beschlußnahme bis zu Erledigung des Competenzpunctes aus gesetzt werden möge,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 9. April 1838.",das eben deshalb nach Bogen be85 stimmt werden muß,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 16. April 1838.","vor der Beruhigung der Hannöv.
Angelegenheit würde es nicht in Anregung gebracht werden können",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 25. April 1838.","daß Prof. Reiche zum Deputierten erwählt
30 werden soll",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 27. April 1838.",wenn deliberiert werden soll.,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 2. Mai 1838.",so muß es hier confisciert worden seyn,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 8. August 1838.","daß sie nicht dem Director Rumann, der dessen unwürdig sey, übergeben werden sollte",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 10. September 1838.","daß die Bedingungen des Contracts bloß für
50 den ersten Band gelten, und für die folgenden, nach den Erfahrungen welche dann über den Absatz gemacht sind, neue verabredet werden sollen",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 19. September 1838.",daß in der ersten Octoberwoche die Wohnung geräumt werden müsse,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Berlin, 26. August 1848.","was immer noch ein günstiges verhältnis genannt werden
kann",321,Wilhelm
"Aufzeichnungen Wilhelm Grimms. Kassel,
28. [und 29.] November [1811].",Der Fall wo ich geheilt werden könnte,321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, [um den 4. August 1809]","da diese wie Musik, ohne die Noten und ohne das
eintheilende System begriffen werden müßen",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle,
28. August bis 3. September 1809.","so hätten die Romane einzeln gedruckt werden
140 müßen",321,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
 Kassel, [nach dem 19. August 1812].",was in dem Fall gethan werden konnte,321,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Marburg, [Anfang / Mitte April 1805].","daß einige nicht einmal recht
repetirt werden können",321,Wilhelm
"Wilhelm (und Jacob) Grimm an Henriette Philippine Zimmer.
Kassel, 10. Juni 1808.","die Lotte, die ohnehin sehr geschont werden muß",321,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
 Marburg, 18. September 1805.","man auch nicht abgewiesen werden
kann",321,Wilhelm
"Wilhelm (und Jacob) Grimm an Henriette Philippine Zimmer.
Kassel, 7. März 1813.","Es hätte mir nichts nützlicheres geschenkt werden
können",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel,
18. und 24. Januar 1814.","in der Lotte ihrem Pult, der für die Tante ausgeräumt wor15 den ist,",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 22. Februar 1838.","oder die, an sich untadelhaft, so oft in unserer Zeit gebraucht worden sind",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 2. Mai 1838.",wenn das Paket mit den beiden Schriften dort nicht verzögert worden ist,321,Wilhelm
"Aufzeichnungen Wilhelm Grimms. Kassel, 18. Juni [1812].","die von ihr genährt
worden sind",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 5. April 1838.","Ob
der nachgesuchte halbjährige Urlaub bewilligt worden ist",321,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, [14. April 1809].","wie aus großem Schmerz und Weinen die Menschen
versteinert worden sind",321,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Kassel, [zum 18. März 1810] ","daß unsre Hoffnung Sie noch oft diesen
Tag erleben zu sehen erfüllt werden wird",321,Wilhelm
